year,new_funds_raised,cash_received,fundraising_staff,contactable_alumni
2005,452,324,660,5.7
2006,548,413,734,6.2
2007,682,438,851,6.9
2008,532,511,913,7.7
2009,600,506,1043,8.3
2010,693,560,1079,8
2011,774,544,1154,8.5
2012,681,660,1198,9.3
2013,807,658,1284,9.5
2014,861,757,1388,9.8
2015,1054,839,1464,10.7
2016,979,886,1575,11.4
